,arima_forecast,garch_forecast
0,2424.5785299534846,1.620603391946006
1,2416.3784762338596,10.447081910161632
2,2401.0385699459425,16.04976718145154
3,2374.981731581846,26.064467542596176
4,2333.102183288507,41.18996354898669
5,2266.1317779764813,65.62653124743392
6,2157.6614703605615,106.49052951184851
7,1982.8494389690168,171.50207001022292
8,1700.2861171709633,277.33965925489457
9,1242.9258743255,449.0532011090815
10,503.36883411960343,726.022089810395
11,-693.7551659500525,1175.4251576409029
12,-2632.061940171363,1903.3211076068967
13,-5767.351853587771,3078.1537124390657
14,-10839.798483404058,4980.0624358446175
15,-19045.585285207257,8056.216676974502
16,-32320.365951513155,13032.812511987675
17,-53792.74498800046,21080.482276176102
18,-88524.89880834456,34098.109248368106
19,-144705.66111553772,55155.23977816449
20,-235580.7627494954,89216.34056469763
21,-382574.4932730293,144310.42730070048
22,-620341.9351567046,233427.0245485128
23,-1004939.0477531294,377576.3269141407
24,-1627038.4469568878,610743.0629075172
25,-2633307.3531315653,987899.839347718
26,-4260983.45233411,1597963.2910459288
27,-6893807.4405162,2584762.3136560377
28,-11152493.94744707,4180945.0117276656
29,-18041069.566132568,6762825.742922635
30,-29183585.515228122,10939111.355680134
31,-47207000.87435581,17694401.220033415
32,-76360514.81508312,28621321.778298542
33,-123517359.31778355,46296004.95802806
34,-199795230.46483433,74885432.62509806
35,-323177397.09339523,121129847.93028463
36,-522752433.8041003,195931830.97500968
37,-845572144.136771,316926695.61766547
38,-1367744490.934765,512640186.09739083
39,-2212376808.616186,829213709.3724494
40,-3578599582.382926,1341282627.2139173
41,-5788513444.296257,2169572288.939972
42,-9363127606.913752,3509360235.3764358
43,-15145192977.049126,5676514825.1555805
44,-24497889078.183014,9181964345.5858
45,-39626207206.78775,14852153449.982248
46,-64096799101.115524,24023885717.987625
47,-103678850626.31863,38859488419.027306
48,-167704224826.24,62856602711.87488
49,-271267541619.6809,101672787399.57838
50,-438784884850.1492,164459344789.0252
51,-709750137333.6388,266018831391.7696
52,-1148046057252.4312,430294908118.2043
53,-1857005274926.1255,696017296909.7845
54,-3003771990020.0073,1125832698592.6484
55,-4858707882048.566,1821074376812.509
56,-7859132570215.196,2945652484625.974
57,-12712426071110.305,4764697516292.61
58,-20562800685985.9,7707067463067.12
59,-33261060451755.52,12466455357798.156
60,-53800946634182.56,20164934319404.496
61,-87024942061045.64,32617497471045.98
62,-140765934699487.47,52759960653575.96
63,-227693899041484.7,85341110262607.16
64,-368302968834480.94,138042276958386.45
65,-595743133316738.1,223288285906038.7
66,-963635677488116.8,361176733109719.1
67,-1558714934333484.0,584216193923862.2
68,-2521276768048365.0,944990443609779.1
69,-4078254721936806.0,1528555606300409.8
70,-6596721862420477.0,2472492983767390.0
71,-1.0670431911978738e+16,3999345218179476.0
72,-1.7259802605409696e+16,6469082937417876.0
73,-2.7918343740450732e+16,1.0463971417361416e+16
74,-4.51589125918307e+16,1.692584542239017e+16
75,-7.304614505200069e+16,2.7378156135568436e+16
76,-1.1815473404297878e+17,4.428513995478252e+16
77,-1.91119478883227e+17,7.163278677729537e+16
78,-3.091425451925572e+17,1.1586857683459392e+17
79,-5.0004904684008845e+17,1.8742153839992067e+17
80,-8.08847093789473e+17,3.03160995118958e+17
81,-1.3083389024854886e+18,4.903736771459336e+17
82,-2.1162846437851791e+18,7.931968396635826e+17
83,-3.423165576604595e+18,1.2830240605779067e+18
84,-5.537091902671365e+18,2.075336987878065e+18
85,-8.956442816604724e+18,3.3569312888137155e+18
86,-1.4487364366917825e+19,5.429955589688847e+18
87,-2.3433826419427148e+19,8.783146025134303e+18
